EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V)
211147344.0,035742.96+252306.9,59.42903,25.38527,HCG516,,12.57,5.32,0.5421,,,,0.051,LC1,best,0.54,,single,no,no,no,no,no,no,no,no,no,HCG516,12.56,5.32,0.3,9.45,0.38,3148.0,-0.05,
210947280.0,035749.36+220831.3,59.45568,22.14204,HHJ7,,13.9,6.6,0.8022,,,,0.032,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ7,13.89,6.6,0.12,10.9,0.24,2866.0,0.15,
211057850.0,035801.95+235354.8,59.50815,23.89857,HHJ84,,13.07,5.7,0.3022,,,,0.039,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ84,13.06,5.7,0.22,9.98,0.32,3044.0,0.09,
211065426.0,035825.13+240058.8,59.60472,24.01635,HHJ220,,12.49,5.34,0.6209,,,,0.043,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ220,12.48,5.34,0.31,9.37,0.4,3144.0,0.01,
211006027.0,035830.97+230413.0,59.62907,23.07028,HHJ60,,13.13,6.03,0.2924,,,,0.024,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ60,13.12,6.03,0.17,10.06,0.33,2966.0,0.42,
210980418.0,035834.16+224011.4,59.64236,22.66985,DH867,,13.0,5.91,0.6841,,,,0.025,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH867,12.99,5.91,0.19,9.92,0.34,2993.0,0.41,
211129321.0,035906.29+250320.1,59.77625,25.05559,HHJ366,16.6,11.46,5.03,0.7786,,,,0.026,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,HHJ366,11.45,5.03,0.38,8.32,0.61,3242.0,0.55,
210967582.0,035907.04+222748.5,59.77935,22.46348,UGCSJ035907.05+222748.1,,12.5,5.8,0.2592,,,,0.04,LC2,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ035907.05+222748.1,12.49,5.8,0.21,9.41,0.42,3020.0,0.75,
211082429.0,035912.91+241718.6,59.80381,24.28851,DH873,,12.84,5.48,0.5426,,,,0.054,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH873,12.83,5.48,0.25,9.73,0.35,3104.0,0.05,
210791550.0,035916.63+194427.5,59.81933,19.74099,UGCSJ035916.64+194427.1,,12.69,5.47,0.3727,,,,0.041,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ035916.64+194427.1,12.68,5.47,0.26,9.58,0.37,3105.0,0.15,
210974237.0,035922.89+223416.8,59.8454,22.57136,DH875,14.33,10.56,3.66,1.8839,,,,0.025,LC1,best,,,single,no,no,yes,no,no,no,no,no,no,DH875,10.55,3.66,0.63,7.26,0.71,3842.0,0.12,
210926194.0,035926.91+214819.0,59.86216,21.80528,DH876,,12.62,5.87,0.9536,,,,0.026,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH876,12.61,5.87,0.19,9.54,0.41,3003.0,0.74,
211009416.0,035927.52+230725.6,59.8647,23.12379,DH877,13.38,10.13,3.14,0.4423,,,,0.072,LC1,best,,,single,no,no,yes,no,no,no,no,no,no,DH877,10.12,3.14,0.72,6.69,0.79,4156.0,0.17,
210892321.0,035931.45+211618.8,59.88105,21.2719,DH879,,11.84,5.0,0.7319,,,,0.033,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH879,11.83,5.0,0.39,8.7,0.51,3252.0,0.1,
210932705.0,035939.83+215428.1,59.91596,21.90782,,,11.77,4.92,4.0454,,,,0.056,LC2,best,,,single,no,no,no,no,no,no,no,no,no,,11.76,4.92,0.4,8.63,0.52,3280.0,0.12,
210887995.0,035942.65+211215.3,59.92773,21.20427,UGCSJ035942.66+211214.8,,13.03,5.98,0.547,,,,0.084,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,UGCSJ035942.66+211214.8,13.02,5.98,0.18,9.96,0.34,2977.0,0.46,
210944157.0,035959.84+220529.7,59.99935,22.09159,DH884,,12.91,5.27,0.5733,,,,0.019,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,DH884,12.9,5.27,0.32,9.79,0.32,3165.0,-0.51,
210940839.0,040010.28+220217.4,60.04284,22.03819,DH888,,12.52,5.39,0.5797,,,,0.033,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,DH888,12.51,5.39,0.28,9.41,0.4,3129.0,0.13,
211127799.0,040015.85+250146.5,60.06605,25.0296,,,11.69,4.95,2.7078,,,,0.029,LC1,best,0.18,,single,no,no,no,no,no,no,no,no,no,,11.68,4.95,0.4,8.55,0.54,3268.0,0.23,
211029446.0,040026.13+232617.7,60.10891,23.43825,DH891,,11.96,5.53,0.4124,,,,0.042,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH891,11.95,5.53,0.23,8.85,0.52,3090.0,1.06,
211030074.0,040040.23+232654.2,60.16766,23.44842,UGCSJ040040.25+232653.8,,12.79,5.89,0.1296,,,,0.019,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ040040.25+232653.8,12.78,5.89,0.19,9.71,0.38,2998.0,0.6,
211013743.0,040053.11+231138.0,60.22132,23.19391,PELS173,9.6,8.49,1.0,1.3944,0.1069,,,0.001,LC1,best,,36.7,multi,yes,no,no,no,no,no,yes,no,no,PELS173,8.48,1.0,1.37,3.78,1.14,6725.0,-0.4,
210833049.0,040104.12+202221.7,60.26719,20.3727,DH896,15.47,10.91,4.45,5.3682,,,,0.025,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,DH896,10.9,4.45,0.51,7.73,0.7,3461.0,0.38,
210949562.0,040111.35+221038.3,60.29731,22.17732,UGCSJ040111.36+221037.8,,13.12,5.66,0.2419,,,,0.024,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ040111.36+221037.8,13.11,5.66,0.22,10.02,0.31,3054.0,0.02,
211012609.0,040113.97+231030.2,60.30823,23.17506,DH899,,12.03,4.95,1.5063,,,,0.097,LC2,best,,,single,no,no,no,no,no,no,no,no,no,DH899,12.02,4.95,0.4,8.89,0.46,3271.0,-0.12,
210912544.0,040126.03+213508.9,60.3585,21.58582,DH900,,12.26,5.2,1.1983,,,,0.047,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH900,12.25,5.2,0.34,9.14,0.43,3188.0,0.03,
210948982.0,040149.15+221005.4,60.45483,22.16818,DH901,,12.24,5.18,0.5601,,,,0.04,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH901,12.23,5.18,0.34,9.11,0.44,3194.0,0.03,
211000887.0,040150.94+225915.9,60.46225,22.98777,UGCSJ040150.95+225915.5,,13.87,7.05,0.2352,,,,0.033,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ040150.95+225915.5,13.86,7.05,0.09,,,,0.54,
211110672.0,040155.85+244402.6,60.48271,24.73407,UGCSJ040155.85+244402.3,,12.35,5.42,0.5678,,,,0.049,LC1,best,0.57,,single,no,no,no,no,no,no,no,no,no,UGCSJ040155.85+244402.3,12.34,5.42,0.27,9.24,0.43,3121.0,0.37,
211010517.0,040234.77+230828.6,60.64488,23.1413,UGCSJ040234.77+230828.4,,12.78,5.2,0.7557,,,,0.556,LC3,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ040234.77+230828.4,12.77,5.2,0.34,9.65,0.34,3186.0,-0.48,
211033935.0,040249.96+233038.8,60.7082,23.51078,DH904,,12.06,4.89,1.1256,,,,0.018,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH904,12.05,4.89,0.41,8.91,0.45,3290.0,-0.21,
211057712.0,040343.83+235347.3,60.93263,23.8965,DH909,,12.2,5.73,0.2775,0.3514,,,0.03,LC1,best,,,multi,no,no,no,no,no,yes,no,no,yes,DH909,12.19,5.73,0.21,9.11,0.48,3036.0,0.99,
211046826.0,040349.55+234314.1,60.95649,23.72061,DH910,,13.0,5.35,0.3081,,,,0.017,LC1,ok,,,single,no,no,no,no,no,no,no,no,no,DH910,12.99,5.35,0.3,9.88,0.32,3140.0,-0.45,
210839388.0,040408.43+202809.8,61.03515,20.46941,s4830655,,10.86,4.3,3.4652,,,,0.021,LC2,best,,,single,no,no,no,no,no,no,no,no,no,s4830655,10.85,4.3,0.53,7.66,0.7,3526.0,0.34,
210941338.0,040434.78+220246.6,61.14493,22.0463,UGCSJ040434.79+220246.2,,12.53,5.42,0.7516,,,,0.011,LC1,best,,,single,no,no,no,no,no,no,no,no,no,UGCSJ040434.79+220246.2,12.52,5.42,0.28,9.42,0.4,3120.0,0.19,
210957703.0,040513.70+221818.6,61.30712,22.30519,DH914,,12.41,5.8,0.2252,0.2157,,,0.017,LC1,best,,,multi,no,no,no,no,no,yes,no,no,no,DH914,12.4,5.8,0.21,9.32,0.44,3019.0,0.84,
210975876.0,040550.07+223554.2,61.45863,22.59841,UGCSJ040550.08+223553.8,,12.53,4.91,22.1411,,,,0.067,LC3,ok,,,single,no,no,no,no,no,no,no,no,no,UGCSJ040550.08+223553.8,12.52,4.91,0.41,9.39,0.36,3285.0,-0.66,
210977069.0,040628.53+223700.0,61.6189,22.61669,UGCSJ040628.54+223659.6,,12.12,5.27,5.2158,,,,0.024,LC2,best,,,single,yes,no,no,no,no,no,no,no,no,UGCSJ040628.54+223659.6,12.11,5.27,0.32,9.0,0.47,3166.0,0.28,
210973624.0,040629.97+223343.8,61.62488,22.56219,DH916,,12.31,5.98,0.5444,0.7642,,,0.047,LC2,ok,,,multi,no,no,no,no,no,yes,no,no,no,DH916,12.3,5.98,0.18,9.24,0.47,2978.0,1.18,
210940618.0,040656.02+220204.9,61.73343,22.0347,s5021891,,10.83,4.25,1.4102,,,,0.034,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,s5021891,10.82,4.25,0.53,7.62,0.7,3546.0,0.33,
210875952.0,040749.07+210105.7,61.95449,21.01827,,,11.85,4.71,0.1537,,,,0.023,LC1,best,,,single,no,no,no,no,no,no,no,no,no,,11.84,4.71,0.44,8.69,0.48,3355.0,-0.18,
211052320.0,041003.79+234843.9,62.51583,23.8122,s5258893,,10.92,3.97,6.7602,,,,0.065,LC4,best,,,single,no,no,yes,no,no,no,no,no,no,s5258893,10.91,3.97,0.58,7.67,0.64,3680.0,0.02,
