mass	age	Teff	logg	logL
0.07	0.0071200000000000005	2976.0	4.088	-1.96
0.07	0.00795	2973.0	4.129	-2.01
0.07	0.00892	2970.0	4.171	-2.05
0.07	0.010029999999999999	2968.0	4.212	-2.09
0.07	0.01133	2966.0	4.253	-2.13
0.07	0.01264	2964.0	4.29	-2.17
0.07	0.01432	2961.0	4.331	-2.22
0.07	0.016040000000000002	2959.0	4.367	-2.25
0.07	0.01798	2955.0	4.404	-2.29
0.07	0.02019	2952.0	4.44	-2.33
0.07	0.02271	2948.0	4.476	-2.37
0.07	0.0252	2942.0	4.508	-2.4
0.07	0.028439999999999997	2930.0	4.544	-2.45
0.07	0.03168	2920.0	4.5760000000000005	-2.48
0.07	0.03588	2907.0	4.612	-2.53
0.07	0.040080000000000005	2897.0	4.643	-2.57
0.07	0.04482	2887.0	4.6739999999999995	-2.6
0.07	0.05017	2877.0	4.706	-2.64
0.07	0.05715	2865.0	4.742	-2.68
0.07	0.06412000000000001	2854.0	4.773	-2.72
0.07	0.07197	2840.0	4.803999999999999	-2.76
0.07	0.07948999999999999	2827.0	4.83	-2.8
0.07	0.08929	2811.0	4.861000000000001	-2.84
0.07	0.10036	2793.0	4.891	-2.88
0.07	0.11294000000000001	2771.0	4.922	-2.92
0.07	0.12724000000000002	2748.0	4.952	-2.97
0.07	0.14342	2722.0	4.981	-3.01
0.07	0.15897	2698.0	5.006	-3.05
0.07	0.1795	2666.0	5.034	-3.1
0.07	0.19959000000000002	2636.0	5.059	-3.15
0.07	0.22660999999999998	2600.0	5.087	-3.2
0.07	0.25356999999999996	2565.0	5.111000000000001	-3.25
0.07	0.2847	2527.0	5.135	-3.3
0.07	0.321	2485.0	5.159	-3.35
0.07	0.35591999999999996	2446.0	5.178999999999999	-3.4
0.07	0.40481999999999996	2396.0	5.202000000000001	-3.45
0.07	0.45173	2352.0	5.221	-3.51
0.07	0.50502	2308.0	5.239	-3.56
0.07	0.56583	2264.0	5.256	-3.61
0.07	0.63559	2219.0	5.273	-3.66
0.07	0.7156100000000001	2172.0	5.289	-3.71
0.07	0.80735	2124.0	5.303999999999999	-3.77
0.07	0.91269	2076.0	5.318	-3.82
0.07	1.0082	2038.0	5.329	-3.86
0.07	1.1447100000000001	1990.0	5.3420000000000005	-3.92
0.07	1.26929	1952.0	5.351	-3.96
0.07	1.42773	1909.0	5.361000000000001	-4.01
0.07	1.58617	1874.0	5.37	-4.05
0.07	1.80798	1831.0	5.379	-4.1
0.07	1.9981099999999998	1801.0	5.386	-4.14
0.07	2.25162	1765.0	5.394	-4.18
0.07	2.53681	1732.0	5.401	-4.22
0.07	2.822	1703.0	5.407	-4.25
0.07200000000000001	0.0010199999999999999	2925.0	3.532	-1.43
0.07200000000000001	0.00115	2925.0	3.536	-1.43
0.07200000000000001	0.00126	2925.0	3.5410000000000004	-1.43
0.07200000000000001	0.00144	2926.0	3.549	-1.44
0.07200000000000001	0.00159	2927.0	3.557	-1.45
0.07200000000000001	0.0018	2927.0	3.569	-1.46
0.07200000000000001	0.00201	2928.0	3.5839999999999996	-1.48
0.07200000000000001	0.00224	2929.0	3.605	-1.5
0.07200000000000001	0.00252	2930.0	3.636	-1.53
0.07200000000000001	0.00282	2932.0	3.681	-1.57
0.07200000000000001	0.00317	2936.0	3.742	-1.63
0.07200000000000001	0.00355	2940.0	3.798	-1.68
0.07200000000000001	0.004	2948.0	3.853	-1.73
0.07200000000000001	0.00449	2960.0	3.904	-1.78
0.07200000000000001	0.00507	2977.0	3.955	-1.82
0.07200000000000001	0.0056700000000000006	2999.0	4.002	-1.85
0.07200000000000001	0.00636	2998.0	4.048	-1.9
0.07200000000000001	0.00716	2996.0	4.093999999999999	-1.95
0.07200000000000001	0.008	2993.0	4.135	-1.99
0.07200000000000001	0.00897	2990.0	4.176	-2.03
0.07200000000000001	0.0101	2987.0	4.218	-2.08
0.07200000000000001	0.01124	2984.0	4.254	-2.11
0.07200000000000001	0.01272	2982.0	4.296	-2.16
0.07200000000000001	0.014219999999999998	2980.0	4.332	-2.19
0.07200000000000001	0.01593	2976.0	4.368	-2.23
0.07200000000000001	0.01786	2973.0	4.405	-2.27
0.07200000000000001	0.020059999999999998	2970.0	4.442	-2.31
0.07200000000000001	0.02256	2965.0	4.477	-2.35
0.07200000000000001	0.02541	2958.0	4.513999999999999	-2.39
0.07200000000000001	0.028260000000000004	2948.0	4.546	-2.43
0.07200000000000001	0.03197	2936.0	4.582	-2.47
0.07200000000000001	0.03567	2925.0	4.613	-2.51
0.07200000000000001	0.03985	2913.0	4.645	-2.55
0.07200000000000001	0.0453	2900.0	4.681	-2.59
0.07200000000000001	0.05074	2890.0	4.712	-2.63
0.07200000000000001	0.05687999999999999	2879.0	4.743	-2.66
0.07200000000000001	0.06384	2868.0	4.774	-2.7
0.07200000000000001	0.0717	2856.0	4.805	-2.74
0.07200000000000001	0.08055	2842.0	4.836	-2.78
0.07200000000000001	0.09052	2826.0	4.867	-2.82
0.07200000000000001	0.10008	2812.0	4.893	-2.86
0.07200000000000001	0.11257	2793.0	4.9239999999999995	-2.9
0.07200000000000001	0.1268	2770.0	4.954	-2.94
0.07200000000000001	0.14295	2746.0	4.9830000000000005	-2.99
0.07200000000000001	0.16122	2719.0	5.013	-3.03
0.07200000000000001	0.17887999999999998	2693.0	5.038	-3.07
0.07200000000000001	0.20232999999999998	2660.0	5.066	-3.12
0.07200000000000001	0.22543000000000002	2630.0	5.09	-3.17
0.07200000000000001	0.25194	2598.0	5.114	-3.21
0.07200000000000001	0.28269	2562.0	5.138	-3.26
0.07200000000000001	0.31855	2523.0	5.162999999999999	-3.31
0.07200000000000001	0.36054	2479.0	5.186	-3.37
0.07200000000000001	0.40129000000000004	2439.0	5.206	-3.41
0.07200000000000001	0.44885	2398.0	5.225	-3.46
0.07200000000000001	0.50343	2355.0	5.244	-3.51
0.07200000000000001	0.56648	2310.0	5.2620000000000005	-3.57
0.07200000000000001	0.6398	2266.0	5.279	-3.62
0.07200000000000001	0.7257600000000001	2221.0	5.295	-3.67
0.07200000000000001	0.8054100000000001	2184.0	5.308	-3.71
0.07200000000000001	0.89638	2146.0	5.32	-3.75
0.07200000000000001	1.00088	2108.0	5.332000000000001	-3.79
0.07200000000000001	1.15323	2061.0	5.345	-3.85
0.07200000000000001	1.27998	2028.0	5.354	-3.88
0.07200000000000001	1.43842	1992.0	5.364	-3.92
0.07200000000000001	1.59686	1961.0	5.371	-3.96
0.07200000000000001	1.78699	1930.0	5.377999999999999	-3.99
0.07200000000000001	2.00881	1900.0	5.386	-4.03
0.07200000000000001	2.26231	1872.0	5.392	-4.06
0.07200000000000001	2.5158099999999997	1850.0	5.397	-4.09
