mass	Teff	logg	logL	Age
1.200	5770.	4.166	0.34	7.4
1.300	5991.	4.294	0.31	7.4
1.400	6350.	4.237	0.50	7.4
0.020	2090.	4.360	-3.39	7.5
0.030	2398.	4.493	-3.11	7.5
0.040	2619.	4.536	-2.88	7.5
0.050	2753.	4.558	-2.72	7.5
0.055	2805.	4.564	-2.65	7.5
0.060	2846.	4.563	-2.58	7.5
0.070	2920.	4.576	-2.48	7.5
0.072	2936.	4.582	-2.47	7.5
0.075	2960.	4.584	-2.44	7.5
0.080	2998.	4.585	-2.39	7.5
0.090	3043.	4.586	-2.31	7.5
0.100	3081.	4.585	-2.25	7.5
0.110	3115.	4.583	-2.18	7.5
0.130	3170.	4.581	-2.08	7.5
0.150	3217.	4.575	-1.98	7.5
0.175	3262.	4.567	-1.89	7.5
0.200	3299.	4.560	-1.80	7.5
0.250	3360.	4.552	-1.66	7.5
0.300	3414.	4.545	-1.55	7.5
0.350	3453.	4.535	-1.45	7.5
0.400	3491.	4.532	-1.37	7.5
0.450	3525.	4.529	-1.30	7.5
0.500	3562.	4.522	-1.23	7.5
0.570	3628.	4.515	-1.14	7.5
0.600	3661.	4.511	-1.09	7.5
0.620	3683.	4.507	-1.07	7.5
0.700	3800.	4.487	-0.94	7.5
0.750	3890.	4.468	-0.85	7.5
0.800	4015.	4.447	-0.74	7.5
0.850	4188.	4.423	-0.62	7.5
0.900	4405.	4.394	-0.48	7.5
0.950	4641.	4.353	-0.32	7.5
1.000	4970.	4.303	-0.13	7.5
1.050	5319.	4.252	0.06	7.5
1.100	5556.	4.295	0.11	7.5
1.150	5665.	4.343	0.12	7.5
1.200	5757.	4.336	0.17	7.5
1.300	6046.	4.276	0.35	7.5
1.400	6605.	4.267	0.54	7.5
0.020	1966.	4.416	-3.56	7.6
0.030	2317.	4.550	-3.23	7.6
0.040	2566.	4.600	-2.98	7.6
0.050	2721.	4.620	-2.80	7.6
0.055	2778.	4.626	-2.73	7.6
0.060	2825.	4.630	-2.66	7.6
0.070	2897.	4.643	-2.57	7.6
0.072	2913.	4.645	-2.55	7.6
0.075	2936.	4.652	-2.52	7.6
0.080	2975.	4.653	-2.47	7.6
0.090	3030.	4.654	-2.39	7.6
0.100	3070.	4.653	-2.32	7.6
0.110	3105.	4.651	-2.26	7.6
0.130	3164.	4.649	-2.15	7.6
0.150	3214.	4.644	-2.06	7.6
0.175	3262.	4.637	-1.96	7.6
0.200	3301.	4.630	-1.87	7.6
0.250	3360.	4.622	-1.73	7.6
0.300	3414.	4.615	-1.62	7.6
0.350	3455.	4.606	-1.52	7.6
0.400	3495.	4.603	-1.44	7.6
0.450	3529.	4.594	-1.37	7.6
0.500	3568.	4.585	-1.29	7.6
0.570	3642.	4.570	-1.18	7.6
0.600	3681.	4.563	-1.14	7.6
0.620	3710.	4.556	-1.10	7.6
0.700	3869.	4.524	-0.94	7.6
0.750	3996.	4.495	-0.83	7.6
0.800	4203.	4.465	-0.68	7.6
0.850	4468.	4.432	-0.52	7.6
0.900	4764.	4.387	-0.34	7.6
0.950	5126.	4.356	-0.15	7.6
1.000	5308.	4.400	-0.12	7.6
1.050	5406.	4.420	-0.08	7.6
1.100	5523.	4.395	0.00	7.6
1.150	5638.	4.363	0.09	7.6
1.200	5766.	4.331	0.18	7.6
1.300	6143.	4.277	0.37	7.6
1.400	6622.	4.276	0.54	7.6
0.020	1843.	4.463	-3.72	7.7
0.030	2233.	4.598	-3.34	7.7
0.040	2504.	4.658	-3.08	7.7
