EPIC,Name_IAU,RAdeg,DEdeg,Other,Vmag_x,Ksmag_R16,(V-K)0,Per1,Per2,Per3,Per4,Ampl,LC,memb,Per_lit,vsini,Per_cat,dd,ddm,shch,beat,cpeak,resc,resd,dscu,cloud,Name_adopt,Ksmag_S16,(V-K),Mass,Mbol,Radius,Teff,Delmag,E(B-V),Object_name,Vmag_y,rmag,Icmag,Kmag,T_VI,T_VK,T_rK,T_IK,Period,A_r,R_o,Tspec,RV,EWHa,D_EWHa,TiO2n,D_TiO2n,TiO5n,D_TiO5n,Tquiet,fs1,Tspot1,fs2,Tspot2,multi,Flag,RAJ2000,DEJ2000
211078565.0,034256.55+241345.6,55.735659999999996,24.22936,HCG92,,12.97,5.63,0.3657,,,,0.023,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HCG92,12.96,5.63,0.22,9.87,0.33,3061.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210822528.0,034258.58+201245.2,55.744119999999995,20.21256,DH247,,12.95,5.82,0.9149,,,,0.027000000000000003,LC1,best,,,single,no,no,no,no,no,no,no,no,no,DH247,12.94,5.82,0.2,9.86,0.35,3015.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210995339.0,034259.21+225403.3,55.74674,22.900920000000003,PELS030,12.1,9.71,2.28,6.6996,,,,0.055,LC3,best,7.07,,multi,no,no,no,yes,yes,no,no,no,no,PELS030,9.7,2.28,0.85,5.93,0.8,4899.0,0.05,,Cl* Melotte 22 PELS 030,12.100999999999999,11.741,11.046,9.713,5037.46,4959.46,4931.12,4897.61,7.06462717,0.0515,0.36783000000000005,5057.18,6.51,-0.8393,0.3159,0.9803,0.0006,0.945,-0.0053,5037.46,0.0,,0.084,3595.0,0.0,1-1-1-0-0,55.746745999999995,22.900925
210965155.0,034259.75+222527.3,55.74896,22.42427,DH249,13.98,10.59,3.28,6.5360000000000005,,,,0.012,LC4,ok,,,multi,no,no,no,yes,yes,no,no,no,no,DH249,10.58,3.28,0.69,7.19,0.65,4065.0,-0.17,,Cl* Melotte 22 DH 249,13.984000000000002,13.388,12.338,10.587,4179.61,4204.81,4230.89,4240.76,,,,4085.18,14.9,-0.0285,0.4264,0.9465,-0.0031,0.9006,-0.0017,4179.61,0.042,3435.0,0.013999999999999999,3535.0,0.0,1-1-1-1-1,55.748962,22.424271
211079830.0,034301.25+241452.4,55.75524,24.24791,BPL50,,13.31,5.9,0.3437,,,,0.035,LC1,best,,,single,no,no,no,no,no,no,no,no,no,BPL50,13.3,5.9,0.19,10.23,0.3,2995.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211106743.0,034302.93+244011.0,55.76223,24.669729999999998,HII34,11.96,9.73,2.12,6.6874,7.6716,,,0.040999999999999995,LC2,best,6.65,6.6,multi,no,no,yes,yes,no,yes,no,no,no,HII34,9.72,2.12,0.89,5.85,0.79,5038.0,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210989020.0,034304.19+224803.5,55.76746,22.80098,HCG101,15.16,10.78,4.27,0.3103,,,,0.076,LC1,best,0.31,55.0,single,no,no,no,no,no,no,no,no,no,HCG101,10.77,4.27,0.53,7.58,0.72,3539.0,0.39,,Cl* Melotte 22 HCG 101,15.16,14.769,12.96,10.785,3609.19,3563.35,3463.61,3482.77,0.3103075,0.0713,0.008740000000000001,3538.21,7.24,4.7084,4.7333,0.7404,-0.0603,0.605,-0.0371,3609.19,0.496,3025.0,0.313,3125.0,0.0,1-1-1-1-1,55.76746,22.800989
210876759.0,034305.71+210149.4,55.773830000000004,21.03042,UGCSJ034305.73+210149.1,,13.07,5.58,0.4336,,,,0.022000000000000002,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,UGCSJ034305.73+210149.1,13.06,5.58,0.23,9.97,0.32,3075.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210957162.0,034306.49+221749.4,55.77705,22.29707,HHJ18,19.99,13.79,6.09,0.1748,,,,0.03,LC1,best,,60.0,single,no,no,no,no,no,no,no,no,no,HHJ18,13.78,6.09,0.17,10.73,0.24,2954.0,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211108136.0,034309.74+244132.9,55.7906,24.69249,HCG100,16.37,11.42,4.84,2.0256,,,,0.04,LC1,best,2.03,11.0,single,yes,no,no,no,no,no,no,no,no,HCG100,11.41,4.84,0.42,8.27,0.6,3309.0,0.38,,Cl* Melotte 22 HCG 100,16.37,99.0,13.73,11.42,3276.98,3286.76,,3303.3,2.02861357,0.0828,0.04044,3255.95,6.8,5.3868,5.2032,0.6384,-0.0313,0.4611,-0.011,3276.98,0.313,2882.5,0.139,2935.0,0.0,1-2-1-1-1,55.790606999999994,24.69249
211071351.0,034311.63+240652.6,55.7985,24.114620000000002,HHJ71,,13.16,6.0,0.4164,,,,0.043,LC2,best,,,single,no,no,no,no,no,no,no,no,no,HHJ71,13.15,6.0,0.18,10.09,0.32,2974.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211111400.0,034312.11+244445.3,55.80049,24.745929999999998,HCG102,17.09,11.69,5.29,0.7068,0.5755,,,0.04,LC1,best,,,multi,no,no,no,no,no,yes,no,no,no,HCG102,11.68,5.29,0.32,8.57,0.57,3158.0,0.73,,Cl* Melotte 22 HCG 102,17.093,99.0,14.202,11.687000000000001,3131.24,3122.68,,3109.98,,,,3168.51,7.86,8.1683,7.8785,0.5519,-0.0417,0.4134,0.0164,3131.24,0.42700000000000005,2765.0,0.0,,0.0,1-1-1-1-1,55.800495,24.745934
211105839.0,034313.06+243919.4,55.80444,24.6554,HCG103,15.99,11.29,4.59,0.2562,,,,0.013000000000000001,LC1,best,0.26,120.0,single,yes,no,no,no,no,no,no,no,no,HCG103,11.28,4.59,0.47,8.12,0.61,3404.0,0.22,,Cl* Melotte 22 HCG 103,15.994000000000002,99.0,13.61,11.293,3457.6,3395.74,,3295.79,0.25622484,0.0942,0.00642,3460.62,1.72,5.7984,5.7325,0.7126,-0.0349,0.5639,-0.0016,3457.6,0.335,2980.0,0.018000000000000002,3070.0,0.0,1-1-1-1-1,55.804446999999996,24.655403
211053678.0,034316.59+235001.6,55.81916,23.833779999999997,HHJ206,18.48,12.4,5.97,0.7703,,,,0.139,LC1,best,0.77,,single,no,no,no,no,no,no,no,no,no,HHJ206,12.39,5.97,0.18,9.33,0.45,2980.0,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210988056.0,034319.00+224710.6,55.82918000000001,22.78629,HCG110,,12.76,5.54,0.3057,,,,0.055999999999999994,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HCG110,12.75,5.54,0.23,9.65,0.36,3086.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210966700.0,034319.02+222657.1,55.82926,22.44922,PELS031,11.49,9.03,2.35,5.0238,2.8747,,,0.031,LC1,best,2.92,,multi,no,no,no,yes,yes,yes,no,no,no,PELS031,9.02,2.35,0.84,5.29,1.1,4842.0,0.79,,Cl* Melotte 22 PELS 031,11.49,11.24,10.395999999999999,9.026,4958.66,4895.39,4727.77,4838.7,2.91898584,0.0289,0.1473,4917.13,2.98,-0.3699,0.7124,0.9734,-0.0056,0.9375,-0.0121,4958.66,0.13699999999999998,3520.0,0.16899999999999998,3585.0,1.0,1-1-1-0-0,55.829269,22.449223
211092430.0,034320.57+242635.0,55.83571,24.443070000000002,HCG106,,13.15,5.82,0.3642,,,,0.048,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HCG106,13.14,5.82,0.2,10.06,0.32,3014.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211015853.0,034324.53+231333.3,55.852230000000006,23.225929999999998,HII102,10.52,8.65,1.76,2.7573,0.7779,,,0.015,LC1,best,2.77,18.3,multi,no,no,no,yes,yes,yes,yes,no,no,HII102,8.64,1.76,0.99,4.56,1.18,5524.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211055772.0,034324.97+235201.5,55.85408,23.86709,BPL58,,14.45,7.16,0.2668,,,,0.037000000000000005,LC1,best,,,single,no,no,no,no,no,no,no,no,no,BPL58,14.44,7.16,0.09,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210995008.0,034325.14+225344.5,55.85479,22.89572,HHJ134,,12.91,5.48,1.2523,,,,0.028999999999999998,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,HHJ134,12.9,5.48,0.25,9.8,0.34,3104.0,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210983198.0,034326.43+224242.7,55.86014,22.71187,HCG114,,12.27,5.01,0.777,,,,0.052000000000000005,LC1,best,,,single,yes,no,no,no,no,no,no,no,no,HCG114,12.26,5.01,0.39,9.13,0.42,3249.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211093040.0,034326.96+242709.7,55.86237,24.452720000000003,SK638,,11.42,5.01,2.1623,0.4041,,,0.044000000000000004,LC1,best,,,multi,no,no,no,no,no,no,yes,no,no,SK638,11.41,5.01,0.39,8.28,0.62,3247.0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210977779.0,034327.43+223741.3,55.8643,22.62816,HHJ70,,13.25,5.59,0.5047,,,,0.03,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ70,13.24,5.59,0.23,10.15,0.29,3073.0,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211105906.0,034329.88+243923.6,55.87453000000001,24.65656,HHJ50,,13.43,5.75,0.7217,,,,0.024,LC1,best,,,single,no,no,no,no,no,no,no,no,no,HHJ50,13.42,5.75,0.21,10.34,0.28,3031.0,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211043986.0,034331.95+234026.6,55.883140000000004,23.67407,HII120,10.84,9.13,1.6,3.9906,4.3197,,,0.039,LC3,best,3.99,9.4,multi,no,no,no,yes,no,yes,no,no,no,HII120,9.12,1.6,1.04,4.91,0.96,5649.0,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
