Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J16145392-2504305,,M4.25,2,M4.25,,,out,,,out,,,out,,,out,,,out,11.07,0.03,,10.86,0.02,,10.67,0.11,,,,nodet,,,,N,N,,
2MASS J16145750-2328427,,M4,25,M4,,,out,,,out,,,out,,,out,,,out,10.71,0.03,,10.56,0.02,,10.59,0.1,,,,nodet,,,,N,N,,
2MASS J16145918-2750230,,"G5,K0IVe","4,5",G8,8.58,0.02,,8.63,0.02,,,,out,8.62,0.03,,7.98,0.05,,8.58,0.02,,8.64,0.02,,8.52,0.03,,,,false,N,N,Y,N,N,,debris/ev trans
2MASS J16145928-2459308,,M4.25,2,M4.25,,,out,,,out,,,out,,,out,,,out,10.75,0.02,,10.39,0.02,,8.34,0.04,,6.08,0.06,,,,,Y,Y,Y,full
2MASS J16150524-2459351,,"M5,M5.25","17,2",M5.25,,,out,,,out,,,out,,,out,,,out,11.09,0.02,,10.59,0.02,,9.16,0.07,,6.9,0.12,,,,,Y,Y,Y,full
2MASS J16150702-2535528,,M5.5,2,M5.5,,,out,,,out,,,out,,,out,,,out,12.71,0.03,,12.46,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16150856-1851009,RX J1615.1-1851,"K7-M0,M0","31,30",M0,9.27,0.02,,9.26,0.02,,9.18,0.03,,9.14,0.03,,8.66,0.08,,9.3,0.02,,9.24,0.02,,9.06,0.04,,,,false,N,N,N?,N,N,,
2MASS J16150891-2345048,,M4.5,25,M4.5,,,out,10.98,0.02,,,,out,10.95,0.03,,,,nodet,11.17,0.03,,10.97,0.02,,,,false,,,nodet,N,N,,N,,,
2MASS J16150927-2345348,"HD 146069,HIP 79643","F2V,F3V","1,9",F3V,,,out,7.97,0.02,,,,out,7.96,0.03,,7.22,0.04,,7.95,0.03,,7.96,0.02,,7.93,0.03,,7.5,0.15,,N,N,Y,N,N,N,debris/ev trans
2MASS J16151045-2207099,"HD 146089,HIP 79644","F5V,F6V","1,9",F6V,,,out,8.43,0.02,,,,out,8.44,0.03,,8.45,0.05,,8.42,0.02,,8.42,0.02,,8.38,0.03,,,,false,N,N,N,N,N,,
2MASS J16151116-2420153,,M6,19,M6,12.8,0.02,,12.71,0.02,,12.6,0.04,,12.64,0.04,,,,nodet,13.01,0.03,,12.75,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16151239-2420091,,M4,15,M4,11.71,0.02,,11.62,0.02,,11.6,0.03,,11.27,0.03,,7.11,0.04,,11.91,0.03,,11.67,0.02,,10.07,0.08,,7.49,0.16,,N,Y,Y,N,Y,Y,transitional
2MASS J16151361-2304261,,M6.5,17,M6.5,,,out,,,out,,,out,,,out,,,out,13.47,0.03,,12.82,0.03,,11.41,0.18,,,,nodet,,,,Y,Y,,full
2MASS J16151602-2345103,,M5,25,M5,,,out,10.88,0.02,,,,out,10.84,0.03,,,,nodet,11.12,0.03,,10.88,0.02,,10.52,0.1,,,,nodet,N,N,,N,N,,
2MASS J16151667-2340462,,M9,2,M9,,,out,,,out,,,out,,,out,,,out,14.06,0.04,,13.68,0.05,,,,nodet,,,nodet,,,,N,,,
2MASS J16152009-2333545,,M5.75,25,M5.75,,,out,,,out,,,out,,,out,,,nodet,,,unres,,,unres,,,unres,,,unres,,,,,,,
2MASS J16152024-2333588,,M4,2,M4,,,out,,,out,,,out,,,out,,,nodet,10.46,0.02,,10.28,0.02,,10.13,0.07,,,,nodet,,,,N,N,,
2MASS J16152743-2239275,,M4,25,M4,,,out,,,out,,,out,,,out,,,out,10.38,0.02,,10.22,0.02,,10.15,0.07,,,,false,,,,N,N,,
2MASS J16152819-2315439,,M5.5,25,M5.5,,,out,,,out,,,out,,,out,,,out,12.08,0.03,,11.9,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16153456-2242421,,"M1,K5Ve+M0Ve","4,5",M0,,,out,,,out,,,out,,,out,,,out,7.49,0.03,,7.16,0.02,,5.11,0.02,,2.96,0.02,,,,,Y,Y,Y,full
2MASS J16153587-2529008,,K5,2,K5,,,out,,,out,,,out,,,out,,,out,8.63,0.02,,8.61,0.02,,8.36,0.04,,,,false,,,,N,N,,
2MASS J16153648-2315175,,M5.75,25,M5.75,,,out,,,out,,,out,,,out,,,out,12.85,0.03,,12.61,0.03,,,,false,,,false,,,,N,,,
2MASS J16153844-2341558,,M5,25,M5,,,out,,,out,,,out,,,out,,,out,11.15,0.02,,10.94,0.02,,10.95,0.12,,,,false,,,,N,N,,
2MASS J16153866-2240371,,M5.75,25,M5.75,,,out,,,out,,,out,,,out,,,out,11.57,0.03,,11.32,0.03,,11.49,0.39,,,,nodet,,,,N,,,
2MASS J16153913-1917005,,M4.75,17,M4.75,,,out,,,out,,,out,,,out,,,out,10.15,0.02,,9.89,0.02,,9.57,0.12,,,,false,,,,N,N,,
2MASS J16154205-2235239,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,,,out,10.42,0.03,,10.29,0.02,,10.23,0.07,,,,nodet,,,,N,N,,
2MASS J16154416-1921171,[T64] 10,K5,5,K5,,,out,,,out,,,out,,,out,,,out,6.84,0.03,,6.07,0.02,,3.62,0.02,,1.47,0.02,,,,,Y,Y,Y,full
2MASS J16155327-2424380,,M2.5,2,M2.5,,,out,,,out,,,out,,,out,,,out,10.24,0.02,,10.14,0.03,,10.06,0.12,,,,nodet,,,,N,N,,
2MASS J16155487-2315146,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,,,out,10.16,0.02,,9.97,0.02,,9.9,0.06,,,,nodet,,,,N,N,,
2MASS J16155507-2444365,,M6,19,M6,11.86,0.02,,11.75,0.02,,11.73,0.05,,11.67,0.05,,,,nodet,12.02,0.02,,11.72,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16155926-2329363,,M5,25,M5,,,out,,,out,,,out,,,out,,,out,11.17,0.02,,10.98,0.02,,10.93,0.13,,,,nodet,,,,N,N,,
2MASS J16160292-2430548,,M0.5,2,M0.5,,,out,,,out,,,out,,,out,,,out,8.86,0.03,,8.79,0.02,,8.66,0.03,,8.61,0.41,,,,,N,N,,
2MASS J16161172-2327050,,M4.5,25,M4.5,,,out,,,out,,,out,,,out,10.3,0.23,,10.85,0.02,,10.68,0.02,,10.54,0.09,,,,nodet,,,N,N,N,,
2MASS J16161183-2316268,,M5,25,M5,,,out,,,out,,,out,,,out,,,out,11.68,0.03,,11.46,0.02,,,,false,,,nodet,,,,N,,,
2MASS J16161293-2430541,,M3.5,2,M3.5,,,out,,,out,,,out,,,out,,,out,9.81,0.03,,9.65,0.02,,9.66,0.06,,,,nodet,,,,N,N,,
2MASS J16161329-2443572,,M2.5,2,M2.5,,,out,,,out,,,out,,,out,,,out,9.55,0.02,,9.42,0.02,,9.43,0.04,,,,nodet,,,,N,N,,
2MASS J16161795-2339476,,"G7,G9IV","4,5",G8,8.01,0.02,,8.05,0.02,,,,out,8.05,0.03,,7.81,0.05,,8.03,0.02,,8.05,0.02,,7.97,0.02,,7.82,0.19,,N,N,N,N,N,N,
