Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,SP_TYPE,SP_QUAL,SP_NATURE,SP_BIBCODE,INPUT
2MASS J16111705-2213085,,M5,25,M5,,,out,9.59,0.02,,,,out,8.93,0.03,,,,out,10.02,0.02,,9.41,0.02,,8.12,0.02,,6.24,0.05,,Y,Y,,Y,Y,Y,full,2MASS J16111705-2213085,16 11 17.05,-22 13 08.6,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M5.0,D,,2011A&A...527A..24L,2MASS J16111705-2213085
2MASS J16111711-2217173,,"M7.5,M6.5","19,25",M7,12.84,0.02,,12.74,0.02,,12.74,0.04,,12.71,0.04,,,,nodet,13.04,0.03,,12.77,0.03,,,,false,,,nodet,N,N,,N,,,,2MASS J16111711-2217173,16 11 17.118,-22 17 17.38,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M7.5,D,,2006AJ....131.3016S,2MASS J16111711-2217173
2MASS J16111813-1757286,,M4,22,M4,,,out,8.95,0.02,,,,out,8.9,0.03,,8.71,0.04,,9.14,0.02,,8.95,0.02,,8.8,0.03,,,,nodet,N,N,N,N,N,,,2MASS J16111813-1757286,16 11 18.130,-17 57 28.70,7.0,7.0,80.0,60.0,0.0,B,I,2003yCat.2246....0C,pMS*,M4,D,,2009A&A...504..981B,2MASS J16111813-1757286
2MASS J16111820-1803585,,M6,14,M6,11.37,0.02,,,,out,11.15,0.04,,,,out,,,out,11.55,0.02,,11.27,0.02,,11.28,0.17,,,,nodet,,,,N,N,,,2MASS J16111820-1803585,16 11 18.210,-18 03 58.55,7.0,7.0,80.0,60.0,0.0,B,I,2003yCat.2246....0C,*inAssoc,M6,D,,2009A&A...504..981B,2MASS J16111820-1803585
2MASS J16111907-2319202,,M5,25,M5,,,out,,,out,,,out,,,out,,,out,10.6,0.02,,10.24,0.02,,8.79,0.03,,7.45,0.14,,,,,N,Y,Y,evolved,2MASS J16111907-2319202,16 11 19.074,-23 19 20.27,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,brownD*,M5.0,D,,2011A&A...527A..24L,2MASS J16111907-2319202
2MASS J16111935-1905080,,M6.5,2,M6.5,12.1,0.02,,11.91,0.02,,11.98,0.05,,11.87,0.04,,,,nodet,12.25,0.03,,11.91,0.03,,,,false,,,nodet,N,N,,N,,,,2MASS J16111935-1905080,16 11 19.355,-19 05 08.02,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16111935-1905080
2MASS J16112023-1847554,,M6,2,M6,,,out,,,out,,,out,,,out,,,out,11.54,0.03,,11.23,0.02,,,,false,,,nodet,,,,N,,,,2MASS J16112023-1847554,16 11 20.234,-18 47 55.41,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16112023-1847554
2MASS J16112044-1919369,,M2,22,M2,,,out,,,out,,,out,,,out,,,out,9.66,0.02,,9.53,0.02,,9.36,0.04,,,,nodet,,,,N,N,,,2MASS J16112044-1919369,16 11 20.446,-19 19 36.92,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M2,D,,2009A&A...504..981B,2MASS J16112044-1919369
2MASS J16112057-1820549,Sco PMS 45,K5,12,K5,,,out,8.4,0.02,,,,out,8.32,0.03,,7.75,0.05,,8.35,0.03,,8.37,0.02,,8.16,0.05,,7.41,0.24,ext,N,N,Y,N,N,,debris/ev trans,V* V1157 Sco,16 11 20.578,-18 20 54.95,7.0,7.0,70.0,60.0,0.0,B,I,2003yCat.2246....0C,BYDra,K5,D,,,2MASS J16112057-1820549
2MASS J16112305-1905231,,M4,22,M4,8.96,0.02,,,,out,8.88,0.03,,,,out,8.7,0.17,,9.1,0.02,,8.9,0.02,,8.73,0.03,,,,false,,,N,N,N,,,2MASS J16112305-1905231,16 11 23.050,-19 05 23.15,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M3,D,,2009A&A...504..981B,2MASS J16112305-1905231
2MASS J16112399-2253326,,M4,25,M4,,,out,,,out,,,out,,,out,,,out,10.5,0.02,,10.38,0.02,,10.23,0.07,,,,false,,,,N,N,,,2MASS J16112399-2253326,16 11 23.99,-22 53 32.6,6.0,6.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,brownD*,M4.0,D,,2011A&A...527A..24L,2MASS J16112399-2253326
2MASS J16112479-2655461,,M6.5,2,M6.5,,,out,,,out,,,out,,,out,,,out,13.66,0.03,,13.4,0.04,,,,nodet,,,nodet,,,,N,,,,2MASS J16112479-2655461,16 11 24.798,-26 55 46.15,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16112479-2655461
2MASS J16112630-2340059,,"M5.5,M5.75","17,25",M5.5,,,out,,,out,,,out,,,out,,,out,12.16,0.03,,11.92,0.03,,11.8,0.27,,,,nodet,,,,N,,,,2MASS J16112630-2340059,16 11 26.301,-23 40 05.97,7.0,7.0,,,0.0,B,I,2003yCat.2246....0C,pMS*,M5.5,D,,2008ApJ...688..377S,2MASS J16112630-2340059
2MASS J16112630-2008242,,M0.5,2,M0.5,,,out,,,out,,,out,,,out,,,out,9.56,0.02,,9.52,0.02,,9.38,0.05,,,,nodet,,,,N,N,,,2MASS J16112630-2008242,16 11 26.305,-20 08 24.28,7.0,7.0,60.0,60.0,90.0,B,N,2003yCat.2246....0C,Star,,,,,2MASS J16112630-2008242
2MASS J16112939-1942246,,M6,14,M6,,,out,,,out,,,out,,,out,,,out,11.11,0.03,,10.85,0.02,,10.76,0.11,,,,nodet,,,,N,N,,,2MASS J16112939-1942246,16 11 29.398,-19 42 24.70,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,*inAssoc,M6,D,,2009A&A...504..981B,2MASS J16112939-1942246
2MASS J16112959-1900292,,"M6,M7","19,13",M6,11.98,0.02,,11.85,0.02,,11.73,0.05,,11.78,0.05,,,,nodet,12.19,0.03,,11.88,0.03,,,,false,,,nodet,N,N,,N,,,,2MASS J16112959-1900292,16 11 29.598,-19 00 29.22,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,pMS*,M6,D,,2006AJ....131.3016S,2MASS J16112959-1900292
2MASS J16112979-1850541,Sco PMS 46,M4,12,M4,,,out,9.13,0.02,,,,out,9.27,0.03,,,,out,9.44,0.03,,9.25,0.02,,9.07,0.04,,,,nodet,N,N,,N,N,,,2MASS J16112979-1850541,16 11 29.796,-18 50 54.17,7.0,7.0,60.0,60.0,90.0,B,I,2003yCat.2246....0C,TTau*,,,,,2MASS J16112979-1850541
